student_id,offering_id,grade_id
1,1,1
1,2,2
1,3,3
1,4,2
1,5,3
1,6,2
1,7,2
1,8,3
1,9,1
1,10,3
1,11,1
1,12,1
2,1,2
2,2,3
2,3,3
2,4,3
2,5,1
2,6,1
2,7,1
2,8,1
2,9,2
2,10,2
2,11,2
2,12,3
3,1,1
3,2,2
3,3,2
3,4,3
3,5,1
3,6,2
3,7,1
3,8,3
3,9,1
3,10,3
3,11,1
3,12,1
4,1,2
4,2,3
4,3,2
4,4,1
4,5,3
4,6,1
4,7,2
4,8,3
4,9,2
4,10,1
4,11,1
4,12,1
5,1,2
5,2,2
5,3,3
5,4,2
5,5,3
5,6,2
5,7,3
5,8,1
5,9,1
5,10,2
5,11,1
5,12,2
6,1,2
6,2,2
6,3,3
6,4,1
6,5,2
6,6,1
6,7,3
6,8,2
6,9,1
6,10,3
6,11,1
6,12,1
7,1,1
7,2,3
7,3,2
7,4,3
7,5,1
7,6,2
7,7,2
7,8,3
7,9,2
7,10,1
7,11,3
7,12,2
8,1,3
8,2,3
8,3,1
8,4,1
8,5,3
8,6,1
8,7,1
8,8,1
8,9,2
8,10,2
8,11,3
8,12,2
9,1,3
9,2,1
9,3,3
9,4,3
9,5,3
9,6,2
9,7,3
9,8,1
9,9,1
9,10,3
9,11,1
9,12,3
10,1,3
10,2,1
10,3,1
10,4,3
10,5,1
10,6,2
10,7,1
10,8,2
10,9,2
10,10,1
10,11,2
10,12,3
11,13,2
11,14,2
11,15,3
11,16,2
11,17,2
11,18,2
11,19,1
11,20,1
11,21,2
11,22,1
11,23,1
11,24,3
11,25,1
12,13,3
12,14,3
12,15,3
12,16,3
12,17,2
12,18,3
12,19,2
12,20,2
12,21,3
12,22,3
12,23,2
12,24,1
12,25,2
13,13,2
13,14,3
13,15,1
13,16,2
13,17,3
13,18,1
13,19,3
13,20,1
13,21,3
13,22,3
13,23,3
13,24,1
13,25,2
14,13,1
14,14,1
14,15,3
14,16,1
14,17,1
14,18,1
14,19,3
14,20,1
14,21,3
14,22,3
14,23,1
14,24,3
14,25,3
15,13,3
15,14,1
15,15,3
15,16,2
15,17,1
15,18,3
15,19,3
15,20,2
15,21,2
15,22,1
15,23,2
15,24,3
15,25,1
16,13,2
16,14,2
16,15,3
16,16,2
16,17,2
16,18,1
16,19,3
16,20,2
16,21,1
16,22,1
16,23,3
16,24,2
16,25,1
17,13,2
17,14,3
17,15,2
17,16,3
17,17,3
17,18,2
17,19,2
17,20,1
17,21,1
17,22,2
17,23,2
17,24,2
17,25,2
18,13,2
18,14,1
18,15,2
18,16,1
18,17,1
18,18,2
18,19,1
18,20,1
18,21,1
18,22,3
18,23,2
18,24,2
18,25,3
19,13,1
19,14,3
19,15,3
19,16,1
19,17,3
19,18,2
19,19,3
19,20,2
19,21,1
19,22,2
19,23,1
19,24,2
19,25,1
20,13,1
20,14,2
20,15,3
20,16,3
20,17,2
20,18,1
20,19,3
20,20,2
20,21,2
20,22,2
20,23,1
20,24,2
20,25,2
1,26,2
1,27,1
1,28,1
1,29,1
1,30,3
1,31,3
2,26,1
2,27,2
2,28,1
2,29,2
2,30,2
2,31,2
3,26,1
3,27,2
3,28,2
3,29,3
3,30,1
3,31,3
4,26,1
4,27,2
4,28,1
4,29,3
4,30,2
4,31,1
5,26,2
5,27,3
5,28,3
5,29,1
5,30,3
5,31,1
6,26,3
6,27,3
6,28,1
6,29,3
6,30,1
6,31,3
7,26,2
7,27,3
7,28,3
7,29,3
7,30,1
7,31,1
8,26,3
8,27,1
8,28,2
8,29,2
8,30,3
8,31,2
9,26,1
9,27,1
9,28,1
9,29,2
9,30,1
9,31,2
10,26,1
10,27,2
10,28,1
10,29,2
10,30,3
10,31,1
16,32,3
16,33,1
16,34,1
16,35,1
16,36,1
16,37,2
16,38,3
16,39,2
16,40,3
17,32,1
17,33,2
17,34,3
17,35,3
17,36,1
17,37,3
17,38,3
17,39,2
17,40,3
18,32,2
18,33,1
18,34,2
18,35,3
18,36,2
18,37,3
18,38,3
18,39,1
18,40,3
19,32,1
19,33,1
19,34,1
19,35,1
19,36,2
19,37,2
19,38,2
19,39,2
19,40,1
20,32,2
20,33,1
20,34,1
20,35,3
20,36,1
20,37,2
20,38,1
20,39,3
20,40,3
21,32,3
21,33,3
21,34,2
21,35,2
21,36,1
21,37,2
21,38,1
21,39,1
21,40,3
22,32,1
22,33,2
22,34,3
22,35,3
22,36,2
22,37,1
22,38,1
22,39,3
22,40,1
23,32,1
23,33,2
23,34,2
23,35,1
23,36,2
23,37,1
23,38,3
23,39,3
23,40,2
24,32,2
24,33,1
24,34,1
24,35,2
24,36,3
24,37,3
24,38,3
24,39,2
24,40,3
25,32,1
25,33,3
25,34,1
25,35,3
25,36,2
25,37,2
25,38,1
25,39,1
25,40,3
21,41,2
21,42,2
21,43,3
21,44,1
21,45,2
21,46,2
22,41,3
22,42,1
22,43,2
22,44,3
22,45,2
22,46,1
23,41,3
23,42,2
23,43,2
23,44,1
23,45,3
23,46,2
24,41,3
24,42,3
24,43,1
24,44,2
24,45,2
24,46,2
25,41,3
25,42,2
25,43,3
25,44,2
25,45,1
25,46,2
26,41,2
26,42,3
26,43,2
26,44,1
26,45,1
26,46,3
27,41,1
27,42,1
27,43,1
27,44,2
27,45,3
27,46,1
28,41,2
28,42,2
28,43,3
28,44,3
28,45,3
28,46,1
29,41,1
29,42,2
29,43,1
29,44,2
29,45,1
29,46,2
30,41,3
30,42,2
30,43,1
30,44,1
30,45,1
30,46,2
26,47,2
27,47,2
28,47,2
29,47,1
30,47,1
36,48,3
37,48,1
38,48,3
39,48,2
40,48,3
46,47,2
47,47,3
48,47,2
49,47,3
50,47,2
41,48,2
42,48,1
43,48,2
44,48,2
45,48,2
