offering_id,course_id,term,year,student_limit,campus_id,teacher_id,class_id
1,37,HT,2023,20,1,1,0
2,1,HT,2023,10,1,1,1
3,2,HT,2023,10,1,2,1
4,3,HT,2023,10,1,1,1
5,13,HT,2023,10,1,5,2
6,14,HT,2023,10,1,5,2
7,15,HT,2023,10,1,5,2
8,16,HT,2024,10,1,6,2
9,17,HT,2024,10,1,6,2
10,4,VT,2024,10,1,3,1
11,5,VT,2024,10,1,1,1
12,6,VT,2024,10,1,1,1
13,18,VT,2024,10,1,6,2
14,19,VT,2024,10,1,7,2
15,20,VT,2024,10,1,7,2
16,21,VT,2024,10,1,7,2
17,38,ST,2024,20,3,4,0
18,7,HT,2024,10,1,3,1
19,8,HT,2024,10,1,3,1
20,9,HT,2024,10,1,3,1
21,10,HT,2024,10,1,1,1
22,11,HT,2024,10,1,3,1
23,22,HT,2024,10,1,5,2
24,23,HT,2024,10,1,5,2
25,25,HT,2024,10,1,5,2
26,1,HT,2024,10,1,1,3
27,2,HT,2024,10,1,2,3
28,3,HT,2024,10,3,3,3
29,13,HT,2024,10,2,5,4
30,14,HT,2024,10,2,5,4
31,15,HT,2024,10,2,5,4
32,16,HT,2024,10,2,6,4
33,17,HT,2024,10,2,6,4
34,26,HT,2024,10,2,9,5
35,27,HT,2024,10,2,9,5
36,28,HT,2024,10,2,10,5
37,12,VT,2025,10,1,4,1
38,24,VT,2025,10,1,8,2
39,4,VT,2025,10,1,3,3
40,5,VT,2025,10,3,3,3
41,6,VT,2025,10,1,3,3
42,18,VT,2025,10,2,6,4
43,19,VT,2025,10,2,7,4
44,20,VT,2025,10,2,7,4
45,21,VT,2025,10,2,7,4
46,29,VT,2025,10,2,10,5
47,30,VT,2025,10,2,11,5
48,31,VT,2025,10,3,11,5
49,7,HT,2025,10,1,3,3
50,8,HT,2025,10,1,3,3
51,9,HT,2025,10,3,3,3
52,10,HT,2025,10,3,1,3
53,11,HT,2025,10,1,3,3
54,39,HT,2025,10,3,12,6
55,40,HT,2025,10,3,12,6
